rule_number,title,category,url,content_length,word_count
3.1382,"Good faith settlement and dismissal  A motion or application for determination of good faith settlement may include a request to dismiss a pleading or a portion of a pleading. The notice of motion or application for determination of good faith settlement must list each party and pleading or portion of pleading affected by the settlement and the date on which the affected pleading was filed.  Rule 3.1382 amended and renumbered effective January 1, 2007; adopted as rule 330 effective July 1, 1999.  CALIFORNIA RULES OF COURT   2025",,,542,
3.1384,"Petition for approval of the compromise of a claim of a minor or a person with a disability; order for deposit of funds; and petition for withdrawal  (a) Petition for approval of the compromise of a claim  A petition for court approval of a compromise or covenant not to sue under Code of Civil Procedure section 372 must comply with rules 7.950 or 7.950.5, 7.951, and 7.952.  (Subd (a) amended effective January 1, 2021.)  (b) Order for the deposit of funds and petition for withdrawal  An order for the deposit of funds of a minor or a person with a disability, and a petition for the withdrawal of such funds, must comply with rules 7.953 and 7.954.  (Subd (b) amended effective January 1, 2007.) Rule 3.1384 amended effective January 1, 2021; adopted as rule 378 effective January 1, 2002; previously amended and renumbered effective January 1, 2007.  CALIFORNIA RULES OF COURT   2025",,,892,
8.41,"Protection of privacy in documents and records  The provisions on protection of privacy in rule 1.201 apply to documents and records under these rules.  Rule 8.41 adopted effective January 1, 2017.  CALIFORNIA RULES OF COURT   2025",,,237,
8.104,"Time to appeal  (a) Normal time  (1) Unless a statute or rules 8.108, 8.702, or 8.712 provides otherwise, a notice of appeal must be filed on or before the earliest of: (A) 60 days after the superior court clerk serves on the party filing the notice of appeal a document entitled ""Notice of Entry"" of judgment or a filed-endorsed copy of the judgment, showing the date either was served; (B) 60 days after the party filing the notice of appeal serves or is served by a party with a document entitled ""Notice of Entry"" of judgment or a filed-endorsed copy of the judgment, accompanied by proof of service; or (C) 180 days after entry of judgment. (2) Service under (1)(A) and (B) may be by any method permitted by the Code of Civil Procedure, including electronic service when permitted under Code of Civil Procedure section 1010.6 and rules 2.250-2.261. (3) If the parties stipulated in the trial court under Code of Civil Procedure section 1019.5 to waive notice of the court order being appealed, the time to appeal under (1)(C) applies unless the court or a party serves notice of entry of judgment or a filed-endorsed copy of the judgment to start the time period under (1)(A) or (B).  (Subd (a) amended effective July 1, 2017, previously amended effective January 1, 2007, January 1, 2010, July 1, 2012, July 1, 2014, and January 1, 2016.)  b) No extension of time; late notice of appeal  Except as provided in rule 8.66, no court may extend the time to file a notice of appeal. If a notice of appeal is filed late, the reviewing court must dismiss the appeal.  (Subd (b) amended effective January 1, 2007; adopted effective January 1, 2005.)  (c) What constitutes entry  For purposes of this rule: (1) The entry date of a judgment is the date the judgment is filed under Code of Civil Procedure section 668.5, or the date it is entered in the judgment book. (2) The entry date of an appealable order that is entered in the minutes is the date it is entered in the permanent minutes. But if the minute order directs that a written order be prepared, the entry date is the date the signed order is filed; a written order prepared under rule 3.1312 or similar local rule is not such an order prepared by direction of a minute order. (3) The entry date of an appealable order that is not entered in the minutes is the date the signed order is filed. (4) The entry date of a decree of distribution in a probate proceeding is the date it is entered at length in the judgment book or other permanent court record. (5) An order signed electronically has the same effect as an order signed on paper.  (Subd (c) amended effective January 1, 2017; adopted as subd (c); previously amended effective January 1, 2007; previously relettered as subd (d) effective January 1, 2005, and as subd (c) effective January 1, 2011.)  (d) Premature notice of appeal  (1) A notice of appeal filed after judgment is rendered but before it is entered is valid and is treated as filed immediately after entry of judgment. (2) The reviewing court may treat a notice of appeal filed after the superior court has announced its intended ruling, but before it has rendered judgment, as filed immediately after entry of judgment.  CALIFORNIA RULES OF COURT   2025",,,5865,
8.108,"Extending the time to appeal  (a) Extension of time  This rule operates only to extend the time to appeal otherwise prescribed in rule 8.104(a); it does not shorten the time to appeal. If the normal time to appeal stated in rule 8.104(a) is longer than the time provided in this rule, the time to appeal stated in rule 8.104(a) governs.  (Subd (a) adopted effective January 1, 2008.)  (b) Motion for new trial  If any party serves and files a valid notice of intention to move for a new trial, the following extensions of time apply: (1) If the motion for a new trial is denied, the time to appeal from the judgment is extended for all parties until the earliest of: (A) 30 days after the superior court clerk or a party serves an order denying the motion or a notice of entry of that order; (B) 30 days after denial of the motion by operation of law; or (C) 180 days after entry of judgment. (2) If the trial court makes a finding of excessive or inadequate damages and grants the motion for a new trial subject to the condition that the motion is denied if a party consents to the additur or remittitur of damages, the time to appeal is extended as follows: (A) If a party serves an acceptance of the additur or remittitur within the time for accepting the additur or remittitur, the time to appeal from the judgment is extended for all parties until 30 days after the date the party serves the acceptance. (B) If a party serves a rejection of the additur or remittitur within the time for accepting the additur or remittitur or if the time for accepting the additur or remittitur expires, the time to appeal from the new trial order is extended for all parties until the earliest of 30 days after the date the party serves the rejection or 30 days after the date on which the time for accepting the additur or remittitur expired.  (Subd (b) amended effective July 1, 2012; adopted as subd (a); previously amended and relettered effective January 1, 2008; previously amended effective January 1, 2011.)  (c) Motion to vacate judgment  If, within the time prescribed by rule 8.104 to appeal from the judgment, any party serves and files a valid notice of intention to move-or a valid motion-to vacate the judgment, the time to appeal from the judgment is extended for all parties until the earliest of: (1) 30 days after the superior court clerk or a party serves an order denying the motion or a notice of entry of that order; (2) 90 days after the first notice of intention to move-or motion-is filed; or (3) 180 days after entry of judgment.  (Subd (c) amended effective January 1, 2011; adopted as subd (b); previously amended effective January 1, 2007; previously relettered effective January 1, 2008.)  (d) Motion for judgment notwithstanding the verdict  (1) If any party serves and files a valid motion for judgment notwithstanding the verdict and the motion is denied, the time to appeal from the judgment is extended for all parties until the earliest of:  CALIFORNIA RULES OF COURT   2025",,,14064,
8.308,"Time to appeal  (a) Normal time  Except as provided in (b) or as otherwise provided by law, a notice of appeal and any statement required by Penal Code section 1237.5 must be filed within 60 days after the rendition of the judgment or the making of the order being appealed. Except as provided in rule 8.66, no court may extend the time to file a notice of appeal.  (Subd (a) amended effective July 1, 2007; previously amended effective January 1, 2005, and January 1, 2007.)  (b) Cross-appeal  If the defendant or the People timely appeals from a judgment or appealable order, the time for any other party to appeal from the same judgment or order is either the time specified in (a) or 30 days after the superior court clerk sends notification of the first appeal, whichever is later.  (Subd (b) amended effective January 1, 2016; adopted effective January 1, 2007; previously amended effective January 1, 2008.)  (c) Premature notice of appeal  A notice of appeal filed before the judgment is rendered or the order is made is premature, but the reviewing court may treat the notice as filed immediately after the rendition of judgment or the making of the order.  (Subd (c) relettered effective January 1, 2007; adopted as subd (b).)  (d) Late notice of appeal  The superior court clerk must mark a late notice of appeal ""Received [date] but not filed,"" notify the party that the notice was not filed because it was late, and send a copy of the marked notice of appeal to the district appellate project.  (Subd (d) relettered effective January 1, 2007; adopted as subd (c).) Rule 8.308 amended effective January 1, 2016; adopted as rule 30.1 effective January 1, 2004; previously amended and renumbered as rule 8.308 effective January 1, 2007; previously amended effective January 1, 2005, July 1, 2007, January 1, 2008, and July 1, 2010.  Advisory Committee Comment Subdivision (c).   The subdivision requires the clerk to send a copy of a late notice of appeal, marked with the date it was received but not filed, to the appellate project for the district; that entity is charged with the duty, among others, of dealing with indigent criminal appeals that suffer from procedural defect, but it can do so efficiently only if it is promptly notified of such cases.  Subdivision (d).   See rule 8.25(b)(5) for provisions concerning the timeliness of documents mailed by inmates or patients from custodial institutions.  CALIFORNIA RULES OF COURT   2025",,,2445,
8.393,"Time to appeal  A notice of appeal under this article must be filed within 30 days after the rendition of the judgment or the making of the order being appealed.  Rule 8.393 adopted effective April 25, 2019.  CALIFORNIA RULES OF COURT   2025",,,248,
8.406,"Time to appeal  (a) Normal time  (1) Except as provided in (A), (B), and (2), a notice of appeal must be filed within 60 days after the rendition of the judgment or the making of the order being appealed. (A) In matters heard by a referee not acting as a temporary judge, a notice of appeal must be filed within 60 days after the referee's order becomes final under rule 5.540(c). (B) When an application for rehearing of an order of a referee not acting as a temporary judge is denied under rule 5.542, a notice of appeal from the referee's order must be filed within 60 days after that order is served under rule 5.538(b)(3) or 30 days after entry of the order denying rehearing, whichever is later. (2) To appeal from an order transferring a minor to a court of criminal jurisdiction: (A) em] Except as provided in (B) and (C), a notice of appeal must be filed within 30 days of the making of the order. (B) em] If the matter is heard by a referee not acting as a temporary judge, a notice of appeal must be filed within 30 days after the referee's order becomes final under rule 5.540(c). (C) em] When an application for rehearing of an order of a referee not acting as a temporary judge is denied under rule 5.542, a notice of appeal from the referee's order must be filed within 30 days after entry of the order denying rehearing.  (Subd (a) amended effective April 1, 2023; previously amended effective January 1, 2023.)  (b) Cross-appeal  If an appellant timely appeals from a judgment or appealable order, the time for any other party to appeal from the same judgment or order is either the time specified in (a) or 20 days after the superior court clerk sends notification of the first appeal, whichever is later.  (Subd (b) amended effective January 1, 2016.)  (c) No extension of time; late notice of appeal  Except as provided in rule 8.66, no court may extend the time to file a notice of appeal. The superior court clerk must mark a late notice of appeal ""Received [date] but not filed,"" notify the party that the notice was not filed because it was late, and send a copy of the marked notice of appeal to the district appellate project.  (Subd (c) relettered effective July 1, 2010; adopted as subd (d) effective July 1, 2010.)  (d) Premature notice of appeal  A notice of appeal is premature if filed before the judgment is rendered or the order is made, but the reviewing court may treat the notice as filed immediately after the rendition of judgment or the making of the order.  (Subd (d) relettered effective July 1, 2010; adopted as subd (e) effective July 1, 2010.) Rule 8.406 amended effective April 1, 2023; adopted effective July 1, 2010; previously amended effective July 1, 2010, January 1, 2016, and January 1, 2023.  Advisory Committee Comment Subdivision (c).   See rule 8.25(b)(5) for provisions concerning the timeliness of documents mailed by inmates or patients from custodial institutions.  CALIFORNIA RULES OF COURT   2025",,,2953,
8.822,"Time to appeal  (a) Normal time  (1) Unless a statute or rule 8.823 provides otherwise, a notice of appeal must be filed on or before the earliest of: (A) 30 days after the trial court clerk serves the party filing the notice of appeal a document entitled ""Notice of Entry"" of judgment or a filed-endorsed copy of the judgment, showing the date it was served; (B) 30 days after the party filing the notice of appeal serves or is served by a party with a document entitled ""Notice of Entry"" of judgment or a filed-endorsed copy of the judgment, accompanied by proof of service; or (C) 90 days after the entry of judgment. (2) Service under (1)(A) and (B) may be by any method permitted by the Code of Civil Procedure, including electronic service when permitted under Code of Civil Procedure section 1010.6 and rules 2.250-2.261. (3) If the parties stipulated in the trial court under Code of Civil Procedure section 1019.5 to waive notice of the court order being appealed, the time to appeal under (1)(C) applies unless the court or a party serves notice of entry of judgment or a filed-endorsed copy of the judgment to start the time period under (1)(A) or (B).  (Subd (a) amended effective January 1, 2016; previously amended effective January 1, 2011, July 1, 2012, and March 1, 2014.)  (b) What constitutes entry  For purposes of this rule: (1) The entry date of a judgment is the date the judgment is filed under Code of Civil Procedure section 668.5 or the date it is entered in the judgment book. (2) The date of entry of an appealable order that is entered in the minutes is the date it is entered in the permanent minutes. But if the minute order directs that a written order be prepared, the entry date is the date the signed order is filed; a written order prepared under rule 3.1312 or similar local rule is not such an order prepared by direction of a minute order. (3) The entry date of an order that is not entered in the minutes is the date the signed order is filed.  (c) Premature notice of appeal  (1) A notice of appeal filed after judgment is rendered but before it is entered is valid and is treated as filed immediately after entry of judgment. (2) The appellate division may treat a notice of appeal filed after the trial court has announced its intended ruling, but before it has rendered judgment, as filed immediately after entry of judgment.  (d) Late notice of appeal  If a notice of appeal is filed late, the appellate division must dismiss the appeal.  Rule 8.822 amended effective January 1, 2016; adopted effective January 1, 2009; previously amended effective January 1, 2011, July 1, 2012, March 1, 2014.  Advisory Committee Comment  Under rule 8.804(23), the term ""judgment"" includes any order that may be appealed.  Subdivision (d).   See rule 8.817(b)(5) for provisions concerning the timeliness of documents mailed by inmates or patients from custodial institutions.  CALIFORNIA RULES OF COURT   2025",,,2934,
8.823,"Extending the time to appeal  (a) Extension of time  This rule operates only to increase the time to appeal otherwise prescribed in rule 8.822(a); it does not shorten the time to appeal. If the normal time to appeal stated in rule 8.822(a) would be longer than the time provided in this rule, the time to appeal stated in rule 8.822(a) governs.  (b) Motion for a new trial  If any party serves and files a valid notice of intention to move for a new trial, the following extensions of time apply: (1) If the motion is denied, the time to appeal from the judgment is extended for all parties until the earliest of: (A) 15 days after the trial court clerk or a party serves an order denying the motion or a notice of entry of that order; (B) 15 days after denial of the motion by operation of law; or (C) 90 days after entry of judgment; or (2) If the trial court makes a finding of excessive or inadequate damages and grants the motion for a new trial subject to the condition that the motion is denied if a party consents to the additur or remittitur of damages: (A) If a party serves an acceptance of the additur or remittitur within the time for accepting the additur or remittitur, the time to appeal from the judgment is extended for all parties until 15 days after the date the party serves the acceptance. (B) If a party serves a rejection of the additur or remittitur within the time for accepting the additur or remittitur or if the time for accepting the additur or remittitur expires, the time to appeal from the new trial order is extended for all parties until the earliest of 30 days after the date the party serves the rejection or 30 days after the date on which the time for accepting the additur or remittitur expired.  (Subd (b) amended effective March 1, 2014; previously amended effective July 1, 2012.)  (c) Motion to vacate judgment  If, within the time prescribed by rule 8.822 to appeal from the judgment, any party serves and files a valid notice of intention to move to vacate the judgment or a valid motion to vacate the judgment, the time to appeal from the judgment is extended for all parties until the earliest of: (1) 15 days after the trial court clerk or a party serves an order denying the motion or a notice of entry of that order; (2) 45 days after the first notice of intention to move or motion is filed; or (3) 90 days after entry of judgment.  (Subd (c) amended effective March 1, 2014.)  (d) Motion for judgment notwithstanding the verdict  (1) If any party serves and files a valid motion for judgment notwithstanding the verdict and the motion is denied, the time to appeal from the judgment is extended for all parties until the earliest of: (A) 15 days after the trial court clerk or a party serves an order denying the motion or a notice of entry of that order; (B) 15 days after denial of the motion by operation of law; or (C) 90 days after entry of judgment. (2) Unless extended by (e)(2), the time to appeal from an order denying a motion for judgment notwithstanding the verdict is governed by rule 8.822.  (Subd (d) amended effective March 1, 2014.)  CALIFORNIA RULES OF COURT   2025",,,6146,
8.853,"Time to appeal  (a) Normal time  A notice of appeal must be filed within 30 days after the rendition of the judgment or the making of the order being appealed. If the defendant is committed before final judgment for insanity or narcotics addiction, the notice of appeal must be filed within 30 days after the commitment.  (b) Cross-appeal  If the defendant or the People timely appeal from a judgment or appealable order, the time for any other party to appeal from the same judgment or order is either the time specified in (a) or 15 days after the trial court clerk sends notification of the first appeal, whichever is later.  (Subd (b) amended effective January 1, 2016.)  (c) Premature notice of appeal  A notice of appeal filed before the judgment is rendered or the order is made is premature, but the appellate division may treat the notice as filed immediately after the rendition of the judgment or the making of the order.  (d) Late notice of appeal  The trial court clerk must mark a late notice of appeal ""Received [date] but not filed"" and notify the party that the notice was not filed because it was late.  Rule 8.853 amended effective January 1, 2016; adopted effective January 1, 2009; previously amended effective July 1, 2010.  Advisory Committee Comment Subdivision (d).   See rule 8.817(b)(5) for provisions concerning the timeliness of documents mailed by inmates or patients from custodial institutions.  CALIFORNIA RULES OF COURT   2025",,,1456,
8.902,"Time to appeal  (a) Normal time  A notice of appeal must be filed within 30 days after the rendition of the judgment or the making of the order being appealed. If the defendant is committed before final judgment for insanity or narcotics addiction, the notice of appeal must be filed within 30 days after the commitment.  (b) Cross-appeal  If the defendant or the People timely appeals from a judgment or appealable order, the time for any other party to appeal from the same judgment or order is either the time specified in (a) or 30 days after the trial court clerk sends notification of the first appeal, whichever is later.  (Subd (b) amended effective January 1, 2016.)  (c) Premature notice of appeal  A notice of appeal filed before the judgment is rendered or the order is made is premature, but the appellate division may treat the notice as filed immediately after the rendition of the judgment or the making of the order.  (d) Late notice of appeal  The trial court clerk must mark a late notice of appeal ""Received [date] but not filed"" and notify the party that the notice was not filed because it was late.  Rule 8.902 amended effective January 1, 2016; adopted effective January 1, 2009; previously amended effective July 1, 2010.  Advisory Committee Comment Subdivision (d).   See rule 8.817(b)(5) for provisions concerning the timeliness of documents mailed by inmates or patients from custodial institutions.  CALIFORNIA RULES OF COURT   2025",,,1457,
2.250,"Construction and definitions  (a) Construction of rules  The rules in this chapter must be construed to authorize and permit filing and service by electronic means to the extent feasible.  (Subd (a) adopted effective January 1, 2011.)  (b) Definitions  As used in this chapter, unless the context otherwise requires: (1) A ""document"" is a pleading, a declaration, an exhibit, or another writing submitted by a party or other person, or by an agent of a party or other person on the party's or other person's behalf. A document is also a notice, order, judgment, or other issuance by the court. A document may be in paper or electronic form. (2) ""Electronic service"" has the same meaning as defined in Code of Civil Procedure section 1010.6. (3) ""Electronic transmission"" has the same meaning as defined in Code of Civil Procedure section 1010.6. (4) ""Electronic notification"" has the same meaning as defined in Code of Civil Procedure section 1010.6. (5) ""Electronic service address"" means the electronic address at or through which the party or other person has authorized electronic service. (6) An ""electronic filer"" is a party or other person filing a document in electronic form directly with the court, by an agent, or through an electronic filing service provider. (7) ""Electronic filing"" is the electronic transmission to a court of a document in electronic form. For the purposes of this chapter, this definition concerns the activity of filing and does not include the processing and review of the document, and its entry into the court records, which are necessary for a document to be officially filed. (8) An ""electronic filing service provider"" is a person or entity that receives an electronic filing from a party or other person for retransmission to the court or for electronic service on other parties or other persons, or both. In submission of filings, the electronic filing service provider does so on behalf of the electronic filer and not as an agent of the court. (9) An ""electronic filing manager"" is a service that acts as an intermediary between a court and various electronic filing service provider solutions certified for filing into California courts. (10) ""Self-represented"" means a party or other person who is unrepresented in an action by an attorney and does not include an attorney appearing in an action who represents himself or herself.  (Subd (b) amended effective January 1, 2019; adopted as unlettered subd effective January 1, 2003; previously amended and lettered effective January 1, 2011; previously amended effective July 1, 2013, and January 1, 2018.) Rule 2.250 amended effective January 1, 2019; adopted as rule 2050 effective January 1, 2003; previously amended and renumbered effective January 1, 2007; previously amended effective January 1, 2006, January 1, 2008, January 1, 2011, July 1, 2013, and January 1, 2018.  Advisory Committee Comment  The definition of ""electronic service"" has been amended to provide that a party may effectuate service not only by the electronic transmission of a document, but also by providing electronic notification of where a document served electronically may be located and downloaded. This amendment is intended to modify the rules on electronic service to expressly authorize electronic notification as a legally effective alternative means of service to electronic transmission. This rules amendment is consistent with the amendment of Code of Civil Procedure section 1010.6, effective January 1, 2011, to authorize service by electronic notification. (See Stats. 2010, ch. 156 (Sen. Bill 1274).) The amendments change the law on electronic service as understood by the  CALIFORNIA RULES OF COURT   2025",,,3904,
2.551,"Procedures for filing records under seal  (a) Court approval required  A record must not be filed under seal without a court order. The court must not permit a record to be filed under seal based solely on the agreement or stipulation of the parties.  (Subd (a) amended effective January 1, 2007.)  (b) Motion or application to seal a record  (1)   Motion or application required  A party requesting that a record be filed under seal must file a motion or an application for an order sealing the record. The motion or application must be accompanied by a memorandum and a declaration containing facts sufficient to justify the sealing. (2)   Service of motion or application  A copy of the motion or application must be served on all parties that have appeared in the case. Unless the court orders otherwise, any party that already has access to the records to be placed under seal must be served with a complete, unredacted version of all papers as well as a redacted version. Other parties must be served with only the public redacted version. If a party's attorney but not the party has access to the record, only the party's attorney may be served with the complete, unredacted version. (3)   Procedure for party not intending to file motion or application  (A) A party that files or intends to file with the court, for the purposes of adjudication or to use at trial, records produced in discovery that are subject to a confidentiality agreement or protective order, and does not intend to request to have the records sealed, must: (i) Lodge the unredacted records subject to the confidentiality agreement or protective order and any pleadings, memorandums, declarations, and other documents that disclose the contents of the records, in the manner stated in (d); (ii) File copies of the documents in (i) that are redacted so that they do not disclose the contents of the records that are subject to the confidentiality agreement or protective order; and (iii) Give written notice to the party that produced the records that the records and the other documents lodged under (i) will be placed in the public court file unless that party files a timely motion or application to seal the records under this rule. (B) If the party that produced the documents and was served with the notice under (A)(iii) fails to file a motion or an application to seal the records within 10 days or to obtain a court order extending the time to file such a motion or an application, the clerk must promptly transfer all the documents in (A)(i) from the envelope, container, or secure electronic file to the public file. If the party files a motion or an application to seal within 10 days or such later time as the court has ordered, these documents are to remain conditionally under seal until the court rules on the motion or application and thereafter are to be filed as ordered by the court. (4)   Lodging of record pending determination of motion or application  The party requesting that a record be filed under seal must lodge it with the court under (d) when the motion or application is made, unless good cause exists for not lodging it or the record has previously been lodged under (3)(A) (i). Pending the determination of the motion or application, the lodged record will be conditionally under seal. (5)   Redacted and unredacted versions  If necessary to prevent disclosure, any motion or application, any opposition, and any supporting documents must be filed in a public redacted version and lodged in a complete, unredacted version conditionally under seal. The cover of  CALIFORNIA RULES OF COURT   2025",,,10211,
2.571,"Procedures for filing records under seal in a False Claims Act case  (a) No sealing order required  On the filing of an action under the False Claims Act, the complaint, motions for extensions of time, and other papers filed with the court must be kept under seal. Under Government Code section 12652, no order sealing these records is necessary.  (Subd (a) amended effective January 1, 2007.)  (b) Filing a False Claims Act case in a county where filings are accepted in multiple locations  In a county where complaints in civil cases may be filed in more than one location, the presiding judge must designate one particular location where all filings in False Claims Act cases must be made.  (Subd (b) amended effective January 1, 2007.)  (c) Special cover sheet omitting names of the parties  In a False Claims Act case, the complaint and every other paper filed while the case is under seal must have a completed  Confidential Cover Sheet-False Claims Action   (form MC-060) affixed to the first page.  (Subd (c) amended effective January 1, 2007.)  (d) Filing of papers under seal  When the complaint or other paper in a False Claims Act case is filed under seal, the clerk must stamp both the cover sheet and the caption page of the paper.  (Subd (d) amended effective January 1, 2007.)  (e) Custody of sealed records  Records in a False Claims Act case that are confidential and under seal must be securely filed and kept separate from the public file in the case.  (Subd (e) amended effective January 1, 2007.) Rule 2.571 amended and renumbered effective January 1, 2007; adopted as rule 243.6 effective July 1, 2002.  CALIFORNIA RULES OF COURT   2025",,,1650,
2.577,"Procedures for filing confidential name change records under seal  (a) Court approval required  Records in a name change proceeding may not be filed under seal without a court order. A request by a confidential name change petitioner to file records under seal may be made under the procedures in this chapter. A request by any other petitioner to file records under seal must be made under rules 2.550-2.573.  (b) Application to file records in confidential name change proceedings under seal  An application by a confidential name change petitioner to file records under seal must be filed at the time the petition for name change is submitted to the court. The application must be made on the   Application to File Documents Under Seal in Name Change Proceeding Under Address Confidentiality Program (Safe at Home)   (form NC-410) and be accompanied by a  Declaration in Support of Application to File Documents Under Seal in Name Change Proceeding Under Address Confidentiality Program (Safe at Home)   (form NC-420), containing facts sufficient to justify the sealing.  (Subd (b) amended effective January 1, 2017.)  (c) Confidentiality  The application to file under seal must be kept confidential by the court until the court rules on it.  (d) Procedure for lodging of petition for name change  (1) The records that may be filed under seal must be lodged with the court. If they are transmitted on paper, they must be placed in a sealed envelope. If they are transmitted electronically, they must be transmitted to the court in a secure manner that preserves the confidentiality of the documents to be lodged. (2) If the petitioner is transmitting the petition on paper, the petitioner must complete and affix to the envelope a completed   Confidential Cover Sheet-Name Change Proceeding Under Address Confidentiality Program   ( Safe at Home)   (form NC-400) and in the space under the title and case number mark it ""CONDITIONALLY UNDER SEAL."" If the petitioner is transmitting the petition electronically, the first page of the electronic transmission must be a completed  Confidential Cover Sheet-Name Change Proceeding Under Address Confidentiality Program   ( Safe at Home)   (form NC-400) with the space under the title and case number marked ""CONDITIONALLY UNDER SEAL."" (3) On receipt of a petition lodged under this rule, the clerk must endorse the cover sheet with the date of its receipt and must retain but not file the record unless the court orders it filed. (4) If the court denies the application to seal, the moving party may notify the court that the lodged record is to be filed unsealed. This notification must be received within 10 days of the order denying the motion or application to seal, unless otherwise ordered by the court. On receipt of this notification, the clerk must unseal and file the record. If the moving party does not notify the court within 10 days of the order, the clerk must (1) return the lodged record to the moving party if it is in paper form or (2) permanently delete the lodged record if it is in electronic form.  (Subd (d) amended effective January 1, 2017; previously amended effective January 1, 2016.)  (e) Consideration of application to file under seal  The court may order that the record be filed under seal if it finds that all of the following factors apply: (1) There exists an overriding interest that overcomes the right of public access to the record; (2) The overriding interest supports sealing the record; (3) A substantial probability exists that the overriding interest will be prejudiced if the record is not sealed; (4) The proposed order to seal the record is narrowly tailored; and (5) No less restrictive means exist to achieve the overriding interest.  (f) Order CALIFORNIA RULES OF COURT   2025",,,6051,
3.1206,"Service of papers  Parties appearing at the ex parte hearing must serve the ex parte application or any written opposition on all other appearing parties at the first reasonable opportunity. Absent exceptional circumstances, no hearing may be conducted unless such service has been made.  Rule 3.1206 adopted effective January 1, 2007.  CALIFORNIA RULES OF COURT   2025",,,377,
3.2222,"Filing and service  (a) Electronic filing  All pleadings and other documents filed in actions or proceedings governed by this chapter must be filed electronically, unless the action or proceeding is in a court that does not provide for electronic filing of documents.  (b) Service  Other than the petition, which must be served personally, all documents that the rules in this chapter require be served on the parties must be served personally or electronically. All parties represented by counsel are deemed to have agreed to accept electronic service. All self-represented parties may agree to such service.  (c) Service of petition in action regarding Sacramento arena project  Service of the petition or complaint in an action governed by these rules and relating to a Sacramento arena project must be made according to the rules in article 2.  (d) Service of petition in action regarding streamlined CEQA project other than the Sacramento arena project  If the petition or complaint in an action governed by these rules and relating to a streamlined CEQA project other than the Sacramento arena project is not personally served on any respondent public agency, any real party in interest, and the Attorney General within three court days following filing of the petition, the time for filing petitioner's briefs on the merits provided in rule 3.2227(a) and rule 8.702(f) will be decreased by one day for every additional two court days in which service is not completed, unless otherwise ordered by the court for good cause shown.  (Subd (d) amended effective March 11, 2022; previously amended effective January 1, 2017.)  (e) Exemption from extension of time  The extension of time provided in Code of Civil Procedure section 1010.6 for service completed by electronic means does not apply to any service in actions governed by these rules.  Rule 3.2222 amended effective March 11, 2022; adopted effective July 1, 2014; previously amended effective January 1, 2017.  Advisory Committee Comment  Parties should note that, while Public Resources Code section 21167 provides the statute of limitations for filing petitions under the California Environment Quality Act, these rules provide an incentive for parties to file actions governed by these rules more quickly, in the form of extra briefing time for petitioners who file within 10 days of the issuance of a Notice of Determination. See rule 3.2227(a).  CALIFORNIA RULES OF COURT   2025",,,2442,
8.36,"Substituting parties; substituting or withdrawing attorneys  (a) Substituting parties  Substitution of parties in an appeal or original proceeding must be made by serving and filing a motion in the reviewing court. The clerk of that court must notify the superior court of any ruling on the motion.  (b) Substituting attorneys  A party may substitute attorneys by serving and filing in the reviewing court a substitution signed by the party represented and the new attorney. In all appeals and in original proceedings related to a superior court proceeding, the party must also serve the superior court.  (c) Withdrawing attorney  (1) An attorney may request withdrawal by filing a motion to withdraw. Unless the court orders otherwise, the motion need be served only on the party represented and the attorneys directly affected. (2) The proof of service need not include the address of the party represented. But if the court grants the motion, the withdrawing attorney must promptly provide the court and the opposing party with the party's current or last known address and telephone number. (3) In all appeals and in original proceedings related to a superior court proceeding, the reviewing court clerk must notify the superior court of any ruling on the motion. (4) If the motion is filed in any proceeding pending in the Supreme Court after grant of review, the clerk/executive officer of the Supreme Court must also notify the Court of Appeal of any ruling on the motion.  (Subd (c) amended effective January 1, 2018.) Rule 8.36 amended effective January 1, 2018; repealed and adopted as rule 48 effective January 1, 2005; renumbered effective January 1, 2007.  CALIFORNIA RULES OF COURT   2025",,,1703,
3.751,"Electronic service  Parties may consent to electronic service, or the court may require electronic service by local rule or court order, under rule 2.251. The court may provide in a case management order that documents filed electronically in a central electronic depository available to all parties are deemed served on all parties.  Rule 3.751 amended effective January 1, 2017; adopted as rule 1830 effective January 1, 2000; renumbered as rule 3.751 effective January 1, 2007. Chapter 6 renumbered effective July 1, 2008; adopted as chapter 5 effective January 1, 2007.  CALIFORNIA RULES OF COURT   2025",,,614,
